scout_initials,match_number,robot_loc,team_number,starting_position,no_show,auto_lunites_missed,auto_lunites_high,auto_lunites_low,moved,ground_intake_auto,pre_high_lunites_scored,pre_low_lunites_scored,pre_lunites_missed,pre_lunites_passed,post_high_lunites_scored,post_low_lunites_scored,post_lunites_missed,post_lunites_passed,end_position,bunnies_inside,tele_op_ground_intake,defense_fouls,defense_rating,postmatch_driver_ranking,postmatch_difficulties,general_comments,commentsOpen
AM,1,B1,9033,O,FALSE,3,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,L,0,FALSE,0,0,0,,,
HR,1,R2,5353,O,FALSE,0,0,0,TRUE,FALSE,0,14,0,0,1,0,0,0,No,0,FALSE,0,0,4,,,
AD,1,B2,686,I,FALSE,0,0,0,TRUE,FALSE,0,0,2,0,2,0,0,0,L,2,FALSE,0,0,2,,,Litterally did nothing at all
NS,1,R1,449,O,FALSE,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,No,0,FALSE,0,0,1,,,
AM,2,R1,5549,O,FALSE,1,1,1,TRUE,FALSE,0,2,1,0,1,0,2,0,No,0,FALSE,0,0,4,,,"Moved, but was unable to exit starting zone"
HR,2,R2,4638,I,FALSE,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,No,0,FALSE,0,0,3,,,"Extremely slow, stopped halfway through the match"
NS,2,R1,526,I,FALSE,0,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,No,0,FALSE,0,0,1,,,
BS,2,B2,611,I,FALSE,0,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,No,0,FALSE,0,0,1,,,
HR,3,R2,5587,I,FALSE,0,0,2,TRUE,FALSE,0,1,0,0,0,0,0,0,No,0,FALSE,0,0,3,di,,
AM,3,R1,5338,O,FALSE,0,0,0,FALSE,FALSE,1,1,0,0,3,0,0,0,No,0,FALSE,0,0,4,NA,,"Fast driving, hit some stuff but overall good"
BS,3,R1,5243,O,FALSE,0,0,2,FALSE,FALSE,0,9,2,0,0,0,0,0,No,0,FALSE,0,0,3,NA,,Smooth and steady 
NS,3,R1,9449,I,FALSE,0,0,0,FALSE,FALSE,0,1,0,0,0,0,0,0,No,0,FALSE,1,1,3,NA,"1,0",Bunny foul
