Match,R1,R2,B1,B2
1,5940,2910,3937,449
2,1727,118,1690,422
3,6767,4414,2056,9072
4,1323,1678,254,359
5,8590,3937,5026,2106
6,449,2056,9072,118
7,422,6767,359,1678
8,1690,5940,1323,8590
9,2910,5026,1727,254
10,2106,449,4414,422
11,6767,118,5940,3937
12,1678,9072,8590,2910
13,1727,2056,1323,2106
14,4414,359,1690,5026
15,254,422,3937,6767
16,2910,1727,2056,5940
17,118,1678,5026,4414
18,359,1323,8590,449
19,9072,254,2106,1690
20,5026,5940,422,2056
21,4414,1323,2910,6767
22,3937,9072,359,1727
23,449,1690,1678,2106
24,254,8590,118,4414
25,422,5026,9072,1323
26,2056,3937,1678,1690
27,6767,8590,449,1727
28,2106,359,118,2910
29,5940,9072,4414,254
